順位,棋士名,棋士ID,PageRankスコア
1,藤井聡太,pro/307,0.031051387154048753
2,豊島将之,pro/264,0.02186108671412461
3,永瀬拓矢,pro/276,0.020910633396504005
4,近藤誠也,pro/303,0.01733276924450367
5,服部慎一郎,pro/322,0.01635945742287908
6,出口若武,pro/317,0.015600788962016478
7,斎藤慎太郎,pro/286,0.01548886522779133
8,伊藤匠,pro/324,0.01511957221207444
9,八代弥,pro/287,0.013744280358278509
10,佐々木大地,pro/306,0.013292871174676054
11,冨田誠也,pro/325,0.013076894777336142
12,稲葉陽,pro/269,0.013036851946762332
13,渡辺明,pro/235,0.012259621490146868
14,糸谷哲郎,pro/260,0.01181756125790645
15,黒沢怜生,pro/298,0.011368444590214305
16,池永天志,pro/314,0.011367138848670454
17,澤田真吾,pro/274,0.010913344402839616
18,西田拓也,pro/309,0.010725143217059254
19,千田翔太,pro/291,0.010560068996858737
20,本田奎,pro/315,0.010423544017066109
21,渡辺和史,pro/319,0.010367246879759798
22,丸山忠久,pro/194,0.010314205499874564
23,佐藤天彦,pro/263,0.010313080621203901
24,増田康宏,pro/297,0.01026400967976187
25,船江恒平,pro/281,0.009882343125689455
26,梶浦宏孝,pro/301,0.00969834717638865
27,菅井竜也,pro/278,0.009537845173779102
28,古賀悠聖,pro/326,0.009506552126710885
29,木村一基,pro/222,0.009480541711276129
30,郷田真隆,pro/195,0.009153198536646704
31,佐藤康光,pro/182,0.00902429181495075
32,久保利明,pro/207,0.008877334863134429
33,広瀬章人,pro/255,0.008781694318319672
34,青嶋未来,pro/300,0.00869718041484684
35,高野智史,pro/302,0.008694954395253425
36,斎藤明日斗,pro/311,0.00866380662424401
37,井田明宏,pro/327,0.008464004060066187
38,高田明浩,pro/328,0.008109511567223464
39,大橋貴洸,pro/308,0.007984003042092529
40,山崎隆之,pro/227,0.007967816069980135
41,佐々木勇気,pro/280,0.007957655976969694
42,杉本和陽,pro/310,0.007920760261922651
43,森内俊之,pro/183,0.007883343597546359
44,黒田尭之,pro/318,0.007776774831601285
45,高見泰地,pro/284,0.007704209133278305
46,今泉健司,pro/299,0.007640089223737071
47,石川優太,pro/320,0.007578798845715871
48,阿部光瑠,pro/283,0.007440407614498061
49,都成竜馬,pro/304,0.00739762968540697
50,深浦康市,pro/201,0.007341409428843457
51,三枚堂達也,pro/294,0.007209602337619671
52,戸辺誠,pro/262,0.007090985749585674
53,羽生善治,pro/175,0.007037495051003999
54,山本博志,pro/316,0.006939539584855431
55,佐々木慎,pro/240,0.006928392427317227
56,三浦弘行,pro/204,0.0067249968783796325
57,瀬川晶司,pro/259,0.00669858577555125
58,遠山雄亮,pro/258,0.006603701580555424
59,野月浩貴,pro/221,0.0064849115561868365
60,飯島栄治,pro/236,0.006362351565469762
61,藤井猛,pro/198,0.00627409991609065
62,横山泰明,pro/246,0.006187696403642337
63,村田顕弘,pro/267,0.006170934057299239
64,松尾歩,pro/231,0.0061565558739679034
